City,Country,Latitude,Longitude,Wikipedia_URL,Scrape_Success,Error_Message
Porto,Portugal,41.15,-8.61083,https://en.wikipedia.org/wiki/Porto,True,
Braga,Portugal,41.55111,-8.42833,https://en.wikipedia.org/wiki/Braga,True,
Coimbra,Portugal,40.20278,-8.41389,https://en.wikipedia.org/wiki/Coimbra,True,
Giroc,Romania,45.7,21.233,https://en.wikipedia.org/wiki/Giroc,True,
Bratislava,SlovakRepublic,48.14389,17.10972,https://en.wikipedia.org/wiki/Bratislava,True,
Ljubljana,Slovenia,46.05139,14.50611,https://en.wikipedia.org/wiki/Ljubljana,True,
Stockholm,Sweden,59.32944,18.06861,https://en.wikipedia.org/wiki/Stockholm,True,
Gothenburg,Sweden,57.7075,11.9675,https://en.wikipedia.org/wiki/Gothenburg,True,
Malmo,Sweden,55.60583,13.03583,https://en.wikipedia.org/wiki/Malmo,True,
Ankara,Turkiye,39.92889,32.85472,https://en.wikipedia.org/wiki/Ankara,True,
Adana,Turkiye,37.0,35.32133,https://en.wikipedia.org/wiki/Adana,True,
